acousticness,analysis_url,artistPopularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,trackPopularity,track_href,type,uri,valence
0.64,https://api.spotify.com/v1/audio-analysis/6NaRzSvVxqv2DC2eg039gB,49,0.723,261693,0.539,6NaRzSvVxqv2DC2eg039gB,0.526,7,0.0819,-9.385,0,0.038,1,99.996,4,58,https://api.spotify.com/v1/tracks/6NaRzSvVxqv2DC2eg039gB,audio_features,spotify:track:6NaRzSvVxqv2DC2eg039gB,0.123
0.235,https://api.spotify.com/v1/audio-analysis/6dFUledybd7eUNvFqfi8Uf,53,0.621,253528,0.631,6dFUledybd7eUNvFqfi8Uf,0.0,7,0.159,-5.518,0,0.0399,1,107.848,4,56,https://api.spotify.com/v1/tracks/6dFUledybd7eUNvFqfi8Uf,audio_features,spotify:track:6dFUledybd7eUNvFqfi8Uf,0.247
0.828,https://api.spotify.com/v1/audio-analysis/43eSdLibmTPIph1hHWo3Eh,64,0.451,180273,0.507,43eSdLibmTPIph1hHWo3Eh,0.0216,3,0.11,-9.219,1,0.0477,1,155.908,4,13,https://api.spotify.com/v1/tracks/43eSdLibmTPIph1hHWo3Eh,audio_features,spotify:track:43eSdLibmTPIph1hHWo3Eh,0.0792
0.487,https://api.spotify.com/v1/audio-analysis/3CXYKSBNOQxfIGHLcbra1f,39,0.464,230751,0.401,3CXYKSBNOQxfIGHLcbra1f,0.000115,7,0.126,-7.627,1,0.0275,1,61.865,3,52,https://api.spotify.com/v1/tracks/3CXYKSBNOQxfIGHLcbra1f,audio_features,spotify:track:3CXYKSBNOQxfIGHLcbra1f,0.228
0.00963,https://api.spotify.com/v1/audio-analysis/39OWGmMgmAhBka08tG0kRI,62,0.416,218879,0.532,39OWGmMgmAhBka08tG0kRI,2.19e-06,0,0.332,-8.649,1,0.0302,1,99.19,4,53,https://api.spotify.com/v1/tracks/39OWGmMgmAhBka08tG0kRI,audio_features,spotify:track:39OWGmMgmAhBka08tG0kRI,0.32
0.882,https://api.spotify.com/v1/audio-analysis/0DwaOWI1kC2s98qLj0LTDd,62,0.296,187267,0.342,0DwaOWI1kC2s98qLj0LTDd,0.000967,2,0.0748,-11.879,1,0.0471,1,52.001,4,52,https://api.spotify.com/v1/tracks/0DwaOWI1kC2s98qLj0LTDd,audio_features,spotify:track:0DwaOWI1kC2s98qLj0LTDd,0.0794
0.324,https://api.spotify.com/v1/audio-analysis/7GSCMV1NIEYXDeMwjgM6vf,40,0.754,229913,0.528,7GSCMV1NIEYXDeMwjgM6vf,0.155,0,0.113,-8.32,1,0.0283,1,102.981,4,52,https://api.spotify.com/v1/tracks/7GSCMV1NIEYXDeMwjgM6vf,audio_features,spotify:track:7GSCMV1NIEYXDeMwjgM6vf,0.871
0.877,https://api.spotify.com/v1/audio-analysis/6WsgELUOvr9rf3XWolZYjc,64,0.603,167733,0.197,6WsgELUOvr9rf3XWolZYjc,0.000892,1,0.103,-15.243,1,0.0295,1,98.995,4,67,https://api.spotify.com/v1/tracks/6WsgELUOvr9rf3XWolZYjc,audio_features,spotify:track:6WsgELUOvr9rf3XWolZYjc,0.375
0.071,https://api.spotify.com/v1/audio-analysis/0hy48SusJtyhy4DNB2rEaS,67,0.731,216240,0.445,0hy48SusJtyhy4DNB2rEaS,0.0,5,0.0862,-8.202,1,0.0533,1,126.066,4,53,https://api.spotify.com/v1/tracks/0hy48SusJtyhy4DNB2rEaS,audio_features,spotify:track:0hy48SusJtyhy4DNB2rEaS,0.452
0.678,https://api.spotify.com/v1/audio-analysis/6pTasKEpCfFTO5fcU4osAR,62,0.441,230507,0.525,6pTasKEpCfFTO5fcU4osAR,0.739,10,0.125,-11.453,0,0.032,1,78.945,4,55,https://api.spotify.com/v1/tracks/6pTasKEpCfFTO5fcU4osAR,audio_features,spotify:track:6pTasKEpCfFTO5fcU4osAR,0.513
0.524,https://api.spotify.com/v1/audio-analysis/3dB80di8lmoWQD8v3qoJXT,68,0.835,186947,0.371,3dB80di8lmoWQD8v3qoJXT,0.00103,7,0.327,-7.889,0,0.0537,1,77.222,4,21,https://api.spotify.com/v1/tracks/3dB80di8lmoWQD8v3qoJXT,audio_features,spotify:track:3dB80di8lmoWQD8v3qoJXT,0.604
0.81,https://api.spotify.com/v1/audio-analysis/3ET6DgEdRQZQiMmQenluWv,52,0.488,201179,0.562,3ET6DgEdRQZQiMmQenluWv,0.00194,9,0.125,-8.278,0,0.208,1,80.018,4,54,https://api.spotify.com/v1/tracks/3ET6DgEdRQZQiMmQenluWv,audio_features,spotify:track:3ET6DgEdRQZQiMmQenluWv,0.767
0.667,https://api.spotify.com/v1/audio-analysis/3KImvFzE4G4xg7GvPewvrw,42,0.684,209160,0.338,3KImvFzE4G4xg7GvPewvrw,0.0335,5,0.167,-10.332,0,0.0551,1,143.904,4,53,https://api.spotify.com/v1/tracks/3KImvFzE4G4xg7GvPewvrw,audio_features,spotify:track:3KImvFzE4G4xg7GvPewvrw,0.128
